,Unnamed: 0,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
4821.0,2016-07-13,746.760009765625,756.8699951171875,741.25,742.6300048828125,742.6300048828125,4142300,AMZN,779.26715,741.2000122070312,0.0,-36.63714599609375
4822.0,2016-07-14,748.8599853515625,749.0399780273438,739.02001953125,741.2000122070312,741.2000122070312,2390500,AMZN,780.8591,735.4400024414062,0.0,-39.6590576171875
4823.0,2016-07-15,746.5499877929688,746.5499877929688,734.0499877929688,735.4400024414062,735.4400024414062,3121400,AMZN,781.22784,736.0700073242188,45.787841796875,0.0
4824.0,2016-07-18,735.489990234375,741.5999755859375,728.719970703125,736.0700073242188,736.0700073242188,2954900,AMZN,780.6027,739.9500122070312,44.53271484375,0.0
4825.0,2016-07-19,732.5,743.3300170898438,732.3099975585938,739.9500122070312,739.9500122070312,2216800,AMZN,779.72144,745.719970703125,39.77142333984375,0.0
4826.0,2016-07-20,744.0,746.25,740.7000122070312,745.719970703125,745.719970703125,2214000,AMZN,779.6,744.4299926757812,0.0,-33.8800048828125
4827.0,2016-07-21,747.5,749.3599853515625,742.7899780273438,744.4299926757812,744.4299926757812,2317100,AMZN,779.51135,744.8599853515625,35.08135986328125,0.0
4828.0,2016-07-22,747.7899780273438,751.280029296875,743.530029296875,744.8599853515625,744.8599853515625,2277700,AMZN,779.45386,739.6099853515625,0.0,-34.5938720703125
4829.0,2016-07-25,746.5499877929688,748.5,735.3499755859375,739.6099853515625,739.6099853515625,2679300,AMZN,779.1762,735.5900268554688,0.0,-39.56622314453125
4830.0,2016-07-26,742.7100219726562,743.1300048828125,732.75,735.5900268554688,735.5900268554688,2529700,AMZN,778.5204,736.6699829101562,42.93035888671875,0.0
4831.0,2016-07-27,737.969970703125,740.9400024414062,733.8599853515625,736.6699829101562,736.6699829101562,2913100,AMZN,777.517,752.6099853515625,40.8470458984375,0.0
4832.0,2016-07-28,745.97998046875,753.3599853515625,739.7000122070312,752.6099853515625,752.6099853515625,7617600,AMZN,777.69934,758.8099975585938,25.08935546875,0.0
4833.0,2016-07-29,765.0,766.0,755.0,758.8099975585938,758.8099975585938,6777100,AMZN,779.9578,767.739990234375,21.1478271484375,0.0
4834.0,2016-08-01,759.8699951171875,770.5,757.0599975585938,767.739990234375,767.739990234375,3578200,AMZN,783.0461,760.5800170898438,0.0,-15.30609130859375
4835.0,2016-08-02,763.8099975585938,765.010009765625,757.02001953125,760.5800170898438,760.5800170898438,3603300,AMZN,784.95355,754.6400146484375,0.0,-24.37353515625
4836.0,2016-08-03,757.0599975585938,758.8900146484375,752.25,754.6400146484375,754.6400146484375,3581500,AMZN,785.53656,760.77001953125,30.89654541015625,0.0
4837.0,2016-08-04,753.7000122070312,765.0,750.3499755859375,760.77001953125,760.77001953125,3178200,AMZN,786.2855,765.97998046875,25.5155029296875,0.0
4838.0,2016-08-05,764.8099975585938,768.469970703125,763.0900268554688,765.97998046875,765.97998046875,2704400,AMZN,787.9176,766.5599975585938,21.9376220703125,0.0
