,open,high,low,close,adjclose,volume,ticker,predicted_adjclose_1,true_adjclose_1,buy_profit,sell_profit
2020-10-16,29.18000030517578,29.399999618530273,27.940000534057617,28.479999542236328,28.479999542236328,186764700,NIO,25.363361,27.6299991607666,0.0,0.8500003814697266
2020-10-19,28.209999084472656,28.559999465942383,27.219999313354492,27.6299991607666,27.6299991607666,115708700,NIO,25.750862,27.959999084472656,0.0,-0.3299999237060547
2020-10-20,27.420000076293945,28.299999237060547,27.049999237060547,27.959999084472656,27.959999084472656,105233400,NIO,25.994905,27.860000610351562,0.0,0.09999847412109375
2020-10-21,27.899999618530273,28.43000030517578,27.389999389648438,27.860000610351562,27.860000610351562,65357900,NIO,26.054863,27.3799991607666,0.0,0.48000144958496094
2020-10-22,28.149999618530273,28.280000686645508,26.809999465942383,27.3799991607666,27.3799991607666,72173300,NIO,26.141401,27.15999984741211,0.0,0.2199993133544922
2020-10-23,27.3700008392334,27.420000076293945,26.479999542236328,27.15999984741211,27.15999984741211,51784000,NIO,26.082802,26.010000228881836,0.0,1.1499996185302734
2020-10-26,26.610000610351562,27.350000381469727,25.459999084472656,26.010000228881836,26.010000228881836,72610300,NIO,26.066105,28.440000534057617,2.4300003051757812,0.0
2020-10-27,26.209999084472656,28.459999084472656,26.030000686645508,28.440000534057617,28.440000534057617,104257700,NIO,26.333408,27.510000228881836,0.0,0.9300003051757812
2020-10-28,27.920000076293945,28.100000381469727,26.510000228881836,27.510000228881836,27.510000228881836,89374900,NIO,26.473547,31.989999771118164,0.0,-4.479999542236328
2020-10-29,28.520000457763672,32.20000076293945,28.31999969482422,31.989999771118164,31.989999771118164,214034700,NIO,27.442022,30.579999923706055,0.0,1.4099998474121094
2020-10-30,31.389999389648438,31.59000015258789,30.030000686645508,30.579999923706055,30.579999923706055,136607400,NIO,27.98437,33.31999969482422,0.0,-2.739999771118164
2020-11-02,33.95000076293945,34.939998626708984,31.68000030517578,33.31999969482422,33.31999969482422,265719900,NIO,29.33409,35.5,0.0,-2.1800003051757812
2020-11-03,33.56999969482422,35.869998931884766,32.779998779296875,35.5,35.5,217608100,NIO,30.391365,37.709999084472656,0.0,-2.2099990844726562
2020-11-04,37.439998626708984,39.75,35.81999969482422,37.709999084472656,37.709999084472656,339385900,NIO,32.18805,42.349998474121094,0.0,-4.6399993896484375
2020-11-05,38.779998779296875,42.4900016784668,38.25,42.349998474121094,42.349998474121094,302472600,NIO,33.899147,41.630001068115234,0.0,0.7199974060058594
2020-11-06,41.09000015258789,43.29999923706055,40.04999923706055,41.630001068115234,41.630001068115234,288784300,NIO,35.384212,44.02000045776367,0.0,-2.3899993896484375
2020-11-09,41.650001525878906,45.290000915527344,40.380001068115234,44.02000045776367,44.02000045776367,218733300,NIO,36.49837,41.54999923706055,0.0,2.470001220703125
2020-11-10,44.5,45.20000076293945,38.11000061035156,41.54999923706055,41.54999923706055,237403600,NIO,37.603073,43.08000183105469,0.0,-1.5300025939941406
2020-11-11,39.709999084472656,43.22999954223633,38.63999938964844,43.08000183105469,43.08000183105469,179581200,NIO,38.260002,48.29999923706055,0.0,-5.219997406005859
2020-11-12,44.47999954223633,49.349998474121094,43.95000076293945,48.29999923706055,48.29999923706055,345932900,NIO,39.959507,44.560001373291016,0.0,3.7399978637695312
2020-11-13,51.290000915527344,54.20000076293945,40.54999923706055,44.560001373291016,44.560001373291016,577185100,NIO,42.480484,45.58000183105469,0.0,-1.0200004577636719
2020-11-16,41.119998931884766,45.849998474121094,41.099998474121094,45.58000183105469,45.58000183105469,306209100,NIO,43.02894,46.59000015258789,0.0,-1.0099983215332031
2020-11-17,47.56999969482422,49.369998931884766,44.959999084472656,46.59000015258789,46.59000015258789,345578500,NIO,43.95082,45.060001373291016,0.0,1.529998779296875
2020-11-18,45.75,46.720001220703125,42.5,45.060001373291016,45.060001373291016,271678300,NIO,44.177246,48.45000076293945,0.0,-3.3899993896484375
2020-11-19,45.36000061035156,48.91999816894531,44.68000030517578,48.45000076293945,48.45000076293945,233779100,NIO,44.403362,49.25,0.0,-0.7999992370605469
2020-11-20,48.27000045776367,50.59000015258789,47.880001068115234,49.25,49.25,209106300,NIO,44.68115,55.380001068115234,0.0,-6.130001068115234
2020-11-23,50.86000061035156,55.70000076293945,50.47999954223633,55.380001068115234,55.380001068115234,270203000,NIO,45.651295,53.5099983215332,0.0,1.8700027465820312
2020-11-24,56.9900016784668,57.20000076293945,51.5,53.5099983215332,53.5099983215332,243669700,NIO,46.5928,53.689998626708984,0.0,-0.18000030517578125
2020-11-25,49.97999954223633,53.9900016784668,49.25,53.689998626708984,53.689998626708984,204508500,NIO,47.434498,54.0,0.0,-0.3100013732910156
2020-11-27,54.86000061035156,55.54999923706055,52.599998474121094,54.0,54.0,105795100,NIO,48.053303,50.529998779296875,0.0,3.470001220703125
2020-11-30,54.209999084472656,54.38999938964844,48.18000030517578,50.529998779296875,50.529998779296875,179765400,NIO,48.5768,45.36000061035156,0.0,5.1699981689453125
2020-12-01,52.02000045776367,52.099998474121094,44.04999923706055,45.36000061035156,45.36000061035156,248227000,NIO,48.967033,47.97999954223633,2.6199989318847656,0.0
2020-12-02,40.15999984741211,48.0,38.43000030517578,47.97999954223633,47.97999954223633,313028300,NIO,49.14592,45.349998474121094,-2.6300010681152344,0.0
2020-12-03,47.900001525878906,48.650001525878906,45.209999084472656,45.349998474121094,45.349998474121094,173424000,NIO,48.788548,43.040000915527344,-2.30999755859375,0.0
2020-12-04,44.65999984741211,45.15999984741211,41.650001525878906,43.040000915527344,43.040000915527344,191969900,NIO,48.29224,45.11000061035156,2.0699996948242188,0.0
2020-12-07,42.5,46.31999969482422,42.40999984741211,45.11000061035156,45.11000061035156,165048500,NIO,47.78517,46.560001373291016,1.4500007629394531,0.0
2020-12-08,47.209999084472656,48.29999923706055,45.66999816894531,46.560001373291016,46.560001373291016,115799600,NIO,47.47758,44.0099983215332,-2.5500030517578125,0.0
2020-12-09,47.08000183105469,47.20000076293945,42.959999084472656,44.0099983215332,44.0099983215332,121387900,NIO,47.176952,45.220001220703125,1.2100028991699219,0.0
2020-12-10,42.439998626708984,45.66999816894531,41.88999938964844,45.220001220703125,45.220001220703125,107376800,NIO,46.81213,41.97999954223633,-3.240001678466797,0.0
2020-12-11,42.47999954223633,43.630001068115234,41.2599983215332,41.97999954223633,41.97999954223633,147076100,NIO,46.62753,40.97999954223633,-1.0,0.0
2020-12-14,39.939998626708984,41.47999954223633,39.5099983215332,40.97999954223633,40.97999954223633,171598200,NIO,46.331604,43.5,2.520000457763672,0.0
2020-12-15,42.470001220703125,43.84000015258789,41.27000045776367,43.5,43.5,132336900,NIO,46.21759,44.66999816894531,1.1699981689453125,0.0
2020-12-16,44.25,45.2599983215332,43.33000183105469,44.66999816894531,44.66999816894531,120109600,NIO,46.205837,46.0,1.3300018310546875,0.0
2020-12-17,45.16999816894531,46.04999923706055,43.900001525878906,46.0,46.0,130003700,NIO,46.510853,46.720001220703125,0.720001220703125,0.0
2020-12-18,45.88999938964844,48.0,45.52000045776367,46.720001220703125,46.720001220703125,126251100,NIO,46.85788,48.95000076293945,2.229999542236328,0.0
2020-12-21,45.630001068115234,49.4900016784668,45.02000045776367,48.95000076293945,48.95000076293945,132558100,NIO,47.340694,47.58000183105469,0.0,1.3699989318847656
2020-12-22,49.61000061035156,49.84000015258789,46.529998779296875,47.58000183105469,47.58000183105469,117118300,NIO,47.70038,47.0099983215332,-0.5700035095214844,0.0
2020-12-23,47.47999954223633,48.36000061035156,45.810001373291016,47.0099983215332,47.0099983215332,81247900,NIO,47.85824,45.77000045776367,-1.2399978637695312,0.0
2020-12-24,46.880001068115234,47.130001068115234,45.349998474121094,45.77000045776367,45.77000045776367,60582500,NIO,47.77401,44.060001373291016,-1.7099990844726562,0.0
2020-12-28,46.66999816894531,46.849998474121094,43.66999816894531,44.060001373291016,44.060001373291016,105078000,NIO,47.888145,46.13999938964844,2.079998016357422,0.0
2020-12-29,43.70000076293945,46.279998779296875,42.22999954223633,46.13999938964844,46.13999938964844,120689900,NIO,48.393513,48.380001068115234,2.240001678466797,0.0
2020-12-30,46.5,48.380001068115234,45.720001220703125,48.380001068115234,48.380001068115234,116691700,NIO,48.86059,48.7400016784668,0.3600006103515625,0.0
2020-12-31,48.459999084472656,50.5,47.77000045776367,48.7400016784668,48.7400016784668,129344300,NIO,49.51785,53.4900016784668,4.75,0.0
2021-01-04,51.20000076293945,54.45000076293945,50.66999816894531,53.4900016784668,53.4900016784668,213109700,NIO,50.81919,53.20000076293945,0.0,0.29000091552734375
2021-01-05,51.970001220703125,53.75,50.400001525878906,53.20000076293945,53.20000076293945,147474800,NIO,51.56012,50.5,0.0,2.700000762939453
2021-01-06,54.02000045776367,55.279998779296875,49.08000183105469,50.5,50.5,176397700,NIO,52.21148,54.279998779296875,3.779998779296875,0.0
2021-01-07,53.04999923706055,54.61000061035156,52.349998474121094,54.279998779296875,54.279998779296875,119429200,NIO,52.576794,58.91999816894531,0.0,-4.6399993896484375
2021-01-08,57.7599983215332,59.310001373291016,55.880001068115234,58.91999816894531,58.91999816894531,218512800,NIO,53.662205,62.70000076293946,0.0,-3.7800025939941477
2021-01-11,64.94999694824219,66.98999786376953,62.189998626708984,62.70000076293945,62.70000076293945,279770300,NIO,55.40387,62.040000915527344,0.0,0.6599998474121094
2021-01-12,61.41999816894531,64.12999725341797,60.41999816894531,62.040000915527344,62.040000915527344,184854200,NIO,56.14273,62.150001525878906,0.0,-0.1100006103515625
